File;Gyro_Z_Area under the curve;Gyro_X_Slope;Gyro_X_Sum absolute diff;Gyro_X_Signal distance;Accel_Z_Mean;Class
biqueira_12.txt;103.39599999999997;-0.08727391304347834;815.25;819.5165081614463;-0.16875000000000004;biqueira
biqueira_13.txt;104.87699999999998;-1.388930769230769;865.9200000000001;868.7264220482641;-0.11;biqueira
biqueira_14.txt;137.8595;-0.9374985883681523;1340.4199999999998;1343.5879953026072;-0.10363636363636365;biqueira
biqueira_15.txt;107.49999999999999;-0.022847863247863094;631.29;636.5716539380355;-0.17923076923076925;biqueira
biqueira_16.txt;132.6925;-0.36842307692307646;819.66;822.5472226160797;-0.15720000000000003;biqueira
biqueira_17.txt;133.548;0.1418831168831171;745.59;747.4525761607581;-0.17476190476190478;biqueira
biqueira_18.txt;138.2385;-0.934347826086956;733.25;736.1013503198857;-0.13772727272727273;biqueira
biqueira_19.txt;96.0325;-0.2444071146245061;749.7099999999999;752.7471884012647;-0.1678260869565217;biqueira
biqueira_20.txt;118.53299999999999;-1.500714285714285;797.5;798.7951692167053;-0.099;biqueira
biqueira_21.txt;172.9535;-0.8951572580645164;1627.8900000000003;1630.4173939345835;-0.08161290322580644;biqueira
parte de dentro_12.txt;150.03499999999997;0.17311484593837528;1140.43;1152.0968712012982;0.013999999999999988;parte de dentro
parte de dentro_13.txt;127.188;0.49027692307692333;881.22;884.9174983031137;-0.0276923076923077;parte de dentro
parte de dentro_14.txt;133.628;0.37120000000000025;1034.85;1039.3522010183674;-0.08039999999999999;parte de dentro
parte de dentro_15.txt;99.0875;1.0314942528735631;740.2299999999999;744.3926058423839;-0.12464285714285714;parte de dentro
parte de dentro_16.txt;146.5285;1.6683766233766226;1233.5299999999997;1236.1154386913372;0.03666666666666667;parte de dentro
parte de dentro_17.txt;136.499;0.11025299145299192;1189.1999999999998;1193.75390170856;0.13961538461538464;parte de dentro
parte de dentro_18.txt;144.20099999999996;0.8372134387351785;1115.52;1120.5727030332444;-0.029565217391304358;parte de dentro
parte de dentro_19.txt;167.85849999999996;0.3114304347826092;1253.5400000000002;1257.0150359649213;-0.12749999999999997;parte de dentro
parte de dentro_20.txt;158.196;0.01156153846153824;1538.0699999999997;1542.1866617945113;-0.1036;parte de dentro
rejeicao_2.txt;6.843500000000001;0.0005581613508442748;19.15;44.97030847151735;-0.37475;rejeicao
rejeicao_3.txt;5.657;0.013991836734693891;27.689999999999998;58.56303024943461;-0.3591836734693878;rejeicao
rejeicao_4.txt;6.805;-0.06088809658860707;37.69;60.50468522742465;-0.37976190476190474;rejeicao
rejeicao_5.txt;8.038499999999999;0.01649433543132173;40.21;87.0036231560028;-0.35581081081081073;rejeicao
rejeicao_6.txt;7.054500000000001;0.00011256326962303679;28.769999999999996;69.81451355175724;-0.3393548387096774;rejeicao
rejeicao_7.txt;3.7155;0.0013204444055638172;40.0;83.38108712795416;-0.34657142857142864;rejeicao
rejeicao_8.txt;6.5395;0.002983287545787537;38.06;76.86107221508736;-0.3328125;rejeicao
trivela_12.txt;201.2514999999999;-2.025408231368188;1713.0500000000002;1719.3278629546294;-0.27133333333333337;trivela
trivela_13.txt;175.27950000000004;-1.5299555555555553;1256.1499999999999;1259.9295594827267;-0.1992307692307692;trivela
trivela_14.txt;207.80749999999998;-1.655709401709401;1753.65;1756.607742179196;-0.3096153846153846;trivela
trivela_15.txt;190.79649999999995;-3.909693675889328;1188.79;1192.0897743429534;-0.3821739130434782;trivela
trivela_16.txt;202.69350000000003;-1.2150073313782985;1261.71;1265.847237774653;-0.293125;trivela
trivela_17.txt;200.84900000000002;0.023918918918919188;1478.4400000000003;1484.1908291957516;-0.3030555555555556;trivela
trivela_18.txt;199.47900000000004;-3.4522735042735038;1770.6899999999998;1773.9027083130768;0.008846153846153854;trivela
trivela_20.txt;186.0105;-2.3747985347985354;1037.21;1040.738284034971;0.01074074074074075;trivela
